VIOLATION_ID,ORG_ID,VIOLATION_TYPE,VIOLATION_DESC,VIOLATION_TEXT,REMEDIAL_TEXT,TABLE_NAME,EXPIRED_FLAG,DATE_EXPIRED,CREATED_BY,DATE_CREATED,MODIFIED_BY,DATE_MODIFIED,FEE_SETUP_ID
1,1,BANNERS,Banners,Section 17.32.060 & 17.32.070 -  Banners: Banners may be used as temporary on-premises signs with proper permits. All permanent on-premises signs shall be constructed of rigid materials. ,CAAZ_BANNERS,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
2,1,BGMATOWNER,Proper Maintenance Req - Owner,"Section 16.16.030 (B) - Proper maintenance required - Owner's responsibility - .   All devices, equipment and safeguards required by this chapter shall be installed and properly maintained in a safe and clean manner and in good working order. The owner, or his designated agent, shall be held responsible for the proper maintenance of all gas/mechanical installations and gas/mechanical systems.",CAAH_BG_MATOWNER,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
4,1,BLDGMAINT,Proper Maintenance Req,"Section 16.16.030 (A) - Proper maintenance required- All mechanical, heating, ventilating, air conditioning and refrigeration, both new and existing, and all parts thereof and appurtenances thereto, shall be installed and maintained as required by this chapter, in a safe and clean condition.",CAAH_BLDG_MAINT,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
5,1,BLDGPERMIT,Building Permit Required,"Section 16.28.010 - Building Permit Required: A permit must be obtained by every person desiring to construct, alter, repair, enlarge, move or demolish any building or structure or part thereof.",CAAB_BLDG_PERMIT,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
6,1,BLDGSCOPE,Scope of Building Code,"Section 16.16.020 (B) - The provisions of this code shall also apply to the installation of mechanical systems, including alterations, repairs, replacement, equipment, appliances, fixtures, fittings and/or appurtenances, including ventilating, heating, cooling, air conditioning and refrigeration systems, incinerators, radon gas reduction systems, and other energy-related systems.",CAAH_BLDG_SCOPE,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
7,1,BOARDINGRQ,Boarding Requirements,"Section 16.24.340 (U) (2) – Boarding of Vacant Buildings – Requirements: A vacant building that is boarded shall be boarded by using a minimum of three-eight inch plywood, OSB, or composite board or equivalent. Any board placed on a vacant building shall be painted a color consistent with the color of the structure using exterior grade paint, and shall be cut to fit into any windows, doors or other openings on such vacant building. ",CAAH_BOARDING_REQU,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
8,1,BOARDVAC,Boarding of Vacant Buildings,"Section 16.24.340 (U) (1) – Boarding of Vacant Buildings Required: A vacant building or structure deem[ed] to be unsafe, or considered a hazard to the public health, safety, or welfare, [shall] be locked, boarded or otherwise secured.",CAAH_BOARDING_VABLDG,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
9,1,CARROW,Vehicle In The Right-Of-Way,"Section 12.08.210 - Abandoned Vehicles: Abandoned vehicles on the street, alley, highway or thoroughfare is prohibited. -",CAMCL_SEW_CONCT,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
10,1,CERTCOMP,Certificate of Compliance Required,"Section 17.40.580 - Certificate of Compliance: Following issuance of a zoning permit, no structure or zone lot shall be used or occupied until the zoning administrator has certified in a final inspection that the property is in full compliance with all applicable provisions of this zoning code. The certificate of compliance shall be posted within the building in a manner viewable by the public.",CAAZ_CERT_COMP,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
11,1,CERTOCC,Certificate of Occupancy Required,"Section 16.24.130 – Certificate of Occupancy Required: It is unlawful to acquire utility services to serve any vacant dilapidated or substandard building or structure or part thereof, or any existing dilapidated or substandard building or structure, or part thereof, becoming vacant, until such time as the building or structure has been brought into compliance with chapter 16.24 and a valid certificate of occupancy has been issued. ",CAAH_CERT_OCC,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
12,1,CHICKFARM,Chickens and Other Domestic Farm Animals,Section 17.16.330 (B) (2)(3) - Domestic Animals/Wildlife:  Chickens and other domestic farm animals are not permitted in this zoning district. ,CAAZ_CHICK_ANIMALS,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
13,1,CONSIGSALE,Consignment Sale,"Section 17.16.030 ((B) 4) - Consignment Sale (Residential Parcel): A consignment sale shall be prohibited, or any other offer for sale in connection with which any owner or occupant of real property undertakes to sell personal property, as an agent for another. ",CAAZ_CONSIGN_SALE,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
14,1,CROWDEDFM,Overcrowding – Unrelated Adults,"Section 16.24.030 & 17.04.060 - Overcrowding: No more than ""three"" unrelated persons may live together in a dwelling unit. ",CAAZ_OVCROWDEDFM,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
15,1,CROWDGH,Overcrowding – Group Home,Section 17.04.060 (2) - Family: No more than eight unrelated adults (mentally or physically handicapped) plus up to two care givers as per Tennessee Code Annotated 13-24-102 may reside in a dwelling unit.,CAAZ_OVCROWDEDGH,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
16,1,DUMPDESIG,Dumping in permitted places,Section 10.20.130 - Dumping permitted in designated places only: (A). It is unlawful for any person to dispose of or cause to be disposed any waste upon any property other than a disposal cility designated and approved by the metropolitan government. ,,,,,,,,,
(B). It is unlawful for any person to dispose of or cause to be disposed any waste in any private receptacle other than the person's own private receptacle or unless authorized to do so by the owner of the private receptacle. ,CAMCL_DUMP_DESIG,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL,,,,
17,1,DUMPSTER,Hours of Collection & Dumpster Required,Section 10.20.330 – Dumpsters – Hours of Collection: No person shall empty container between the hours of 11 p.m. and 7 a.m. when the containers are located within 600 feet of any residential structure.,CAMCL_LIT_NOTICE,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
18,1,ECSYSHZ,Electrical System Hazards,"Section 16.24.490 (C) - Electrical System Hazards: [The] electrical system in a building or structure constitutes a hazard to the occupants or the building or structure by reason of  inadequate service,  improper fusing,  insufficient receptacles and  lighting outlets,  improper wiring,  or installation,  deterioration,  damage, or for similar reasons, the defects [are] to be corrected to eliminate the hazard. ",CAAE_ELECSYS_HAZ,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
19,1,ECSYSHZCRT,Electrical System Certification,Section 16.24.490 (C) - Electrical System Hazards (Certification): Electrical system must be inspected and certified to be in a safe operating condition by a licensed electrician.,CAAE_ELECSYS_HAZCERT,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
20,1,ELECEAREC,Electrical Receptacles,Section 16.24.500 (B) Receptacles: Every habitable space in a dwelling shall contain at least two separate and remote receptacle outlets.  Every laundry area shall contain at least one ground-type receptacle or a receptacle with a ground fault circuit interrupter.  Every bathroom shall contain at least one receptacle.  Any new bathroom receptacle outlet shall have ground fault circuit interrupter protection.,CAAE_ELECEA_RECPT,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
21,1,ELECEQ,Electrical Equipment ,"Section 16.24.500 (A) - Electrical Equipment Installation: All  electrical equipment,  wiring, and  appliances shall be properly installed and maintained in a safe and approved manner.",CAAE_ELEC_EQ,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
22,1,ELECEQLIGH,Electrical Lighting Fixtures,"Section 16.24.500 (C) - Lighting Fixtures: Every  public hall,  interior stairway,  toilet room,  kitchen,  bathroom,  laundry room,  boiler room, and  furnace room shall contain at least one electric lighting fixture. ",CAAE_ELECEQ_LIGHT,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
23,1,ELECFAC,Electrical Facilities Required,Section 16.24.490(A) - Electrical Facilities Required: Every occupied building or structure shall be provided with an electrical system in compliance with the requirements of this section and Section 16.24.530.,CAAE_ELECFAC,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
24,1,ELECSVCPAN,Electrical Service Panel,"Section 16.24.490 (B) - Electrical Service: Service to the dwelling unit shall be a minimum of one hundred ampere, with three-wire capacity and service equipment shall be dead-front, having no live parts exposed.  Type “S” fuses shall be installed when fused equipment is used.",CAAE_ELECSVC_PANEL,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
25,1,EXPARK,Exterior Prop Area – Vehicles – Parking,"Section 16.24.330 (K)(3) – Motor Vehicles (Parking): Every motor vehicle located on private property shall be either stored inside a fully enclosed structure or similarly enclosed area designated and approved for such purposes, or parked or stored in a safe manner on a paved or graveled area, other than a sidewalk.  ",CAAH_EXT_PARK,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
26,1,EXTACC,Exterior Prop Area – Acces Structures,"Section 16.24.330 (H) – Accessory Structures: All accessory structures, including detached garages, fences and walls, shall be maintained in a structurally sound manner, in good repair, and in an otherwise safe, clean, and sanitary condition.",CAAH_EXT_ACC,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
27,1,EXTBAHAT,Exterior of Bldgs – Basement Hatchways,"Section 16.24.340 (R) – Basement Hatchways: Basement hatchways, bulkhead enclosures, and crawl space access doors shall be maintained to prevent the entrance of rodents, rain, and surface drainage water.",CAAH_EXT_BAHAT,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
28,1,EXTBAL,Exterior of Buildings - Balconies,"Section 16.24.340 (J) – Balconies: Every exterior balcony and all appurtenances attached thereto shall be maintained structurally sound, in good repair, with proper anchorage, and shall be capable of supporting the imposed loads.",CAAH_EXT_BALCO,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
29,1,EXTCHIMTW,Exterior of Bldgs – Chimneys and Towers,"Section 16.24.340 (K) – Chimneys and towers: All chimneys, cooling towers, smoke stacks, and similar appurtenances shall be maintained structurally safe and sound, and in good repair. ",CAAH_EXT_CHIMTW,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
30,1,EXTDEC,Exterior of Buildings – Decks,"Section 16.24.340 (J) – Decks: Every exterior deck and all appurtenances attached thereto shall be maintained structurally sound, in good repair, with proper anchorage, and shall be capable of supporting the imposed loads.",CAAH_EXT_DECK,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
31,1,EXTDECF,Exterior of Bldgs – Decorative Features,"Section 16.24.340 (H) – Decorative Features: All cornices, belt courses, corbels, terra cotta trim, wall facings, and similar decorative features shall be maintained in good repair with proper anchorage and in a safe condition.",CAAH_EXT_DECF,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
32,1,EXTDENBW,Exterior Prop Area – Fences  Barbed Wire,Section 16.24.330 (O) – Fences (Barbed Wire): Barbed wire or razor wire fencing shall be prohibited in all residential zoning districts unless the property satisfies all of the requirements of Section 17.16.330. ,CAAH_EX_FENBW,NULL,N,NULL,1,03:52.6,NULL,NULL,NULL
